dataset,T,p_svm,C,train_acc_mean,train_acc_std,train_acc_min,train_acc_max,test_acc_mean,test_acc_std,test_acc_min,test_acc_max,delta
Mushroom Data Set,50,0.5,10.0,0.9999938452069549,3.015220486576993e-05,0.9998461301738729,1.0,0.9999901538461538,4.823610570404772e-05,0.9997538461538461,1.0,3.6913608011390764e-06
Wisconsin Breast Cancer,50,0.5,10.0,0.9875931752458069,0.0033562110528740224,0.9819828417196839,0.9934123770965876,0.9647893184288155,0.003834354208103301,0.9578326346840553,0.971852196863841,0.022803856816991375
Wine Quality - Red,50,0.5,10.0,0.7819569634480061,0.011964681073561446,0.7609426309616889,0.8105096755277561,0.7425151253918496,0.007422939726650995,0.7261050156739811,0.7604525862068965,0.03944183805615653
Car Evaluation,50,0.5,10.0,0.8510756310083262,0.014006255451758992,0.8226131242197743,0.8845443900662688,0.8137308871575771,0.013672566568789957,0.7853581301834632,0.8454904917483456,0.03734474385074904
Synthetic Diagonal,50,0.5,10.0,0.9996648648648648,0.0007693166216067813,0.9962162162162163,1.0,0.9399351351351354,0.011502540132970281,0.9199999999999999,0.9643243243243245,0.05972972972972945
