Dataset,ID3,SkTree,RF,SkRF,Hybrid,H-RF Diff
Mushroom Data Set,0.9999,1.0000,0.9805,1.0000,0.9999,0.0194
Wisconsin Breast Cancer,0.9265,0.9291,0.9497,0.9553,0.9644,0.0147
Wine Quality - Red,0.7382,0.7438,0.7550,0.7908,0.7427,-0.0123
Car Evaluation,0.9249,0.9771,0.8321,0.9800,0.8019,-0.0301
Synthetic Diagonal,0.6635,0.7498,0.8145,0.8719,0.9342,0.1197
